,Dis No,Year,Neighbors,Total Deaths
348,2016-0304-IND,2016,2016-0276-IND,184.0
349,2016-0304-IND,2016,2016-0391-IND,28.0
350,2016-0304-IND,2016,2016-0554-IND,34.0
351,2016-0107-JPN,2016,2016-0121-JPN,49.0
352,2016-0121-JPN,2016,2016-0107-JPN,9.0
353,2016-0089-KEN,2016,2015-0564-KEN,112.0
354,2016-0089-KEN,2016,2016-0161-KEN,39.0
355,2016-0189-MMR,2016,2016-0138-MMR,14.0
356,2016-0232-MMR,2016,2016-0369-MMR,5.0
357,2016-0269-NER,2016,2016-0219-NER,50.0
358,2016-0219-NER,2016,2016-0269-NER,11.0
359,2016-0275-NPL,2016,2016-0267-NPL,138.0
360,2016-0240-PAK,2016,2016-0112-PAK,92.0
361,2016-0240-PAK,2016,2016-0270-PAK,26.0
362,2016-0240-PAK,2016,2016-0375-PAK,32.0
363,2016-0240-PAK,2016,2016-0554-PAK,22.0
364,2016-0240-PAK,2016,2016-0387-PAK,10.0
365,2016-0256-PHL,2016,2016-0371-PHL,
366,2016-0256-PHL,2016,2016-0490-PHL,
367,2016-0256-PHL,2016,2016-0342-PHL,
368,2016-0256-PHL,2016,2016-0363-PHL,
369,2016-0256-PHL,2016,2016-0364-PHL,8.0
370,2016-0128-RUS,2016,2016-0227-RUS,
371,2016-0120-SAU,2016,2016-0105-SAU,18.0
372,2016-0105-SAU,2016,2016-0120-SAU,3.0
373,2016-0004-TON,2016,2016-0041-TON,
374,2016-0004-TON,2016,2016-0141-TON,
375,2016-0041-TON,2016,2016-0004-TON,
376,2016-0041-TON,2016,2016-0141-TON,
377,2016-0141-TON,2016,2016-0004-TON,
378,2016-0141-TON,2016,2016-0041-TON,
379,2014-0482-USA,2014,2014-0444-USA,2.0
380,2014-0482-USA,2014,2014-0459-USA,13.0
381,2014-0482-USA,2014,2015-0123-USA,1.0
382,2014-0482-USA,2014,2015-0046-USA,10.0
383,2014-0482-USA,2014,2015-0072-USA,22.0
384,2014-0482-USA,2014,2015-0026-USA,2.0
385,2014-0482-USA,2014,2015-0025-USA,15.0
386,2014-0482-USA,2014,2015-0073-USA,30.0
387,2014-0482-USA,2014,2015-0122-USA,13.0
388,2014-0227-VNM,2014,2014-0390-VNM,11.0
389,2014-0263-USA,2014,2014-0126-USA,40.0
390,2014-0263-USA,2014,2014-0444-USA,2.0
391,2014-0263-USA,2014,2014-0192-USA,
392,2014-0263-USA,2014,2014-0540-USA,2.0
393,2014-0263-USA,2014,2014-0310-USA,1.0
394,2014-0126-USA,2014,2014-0263-USA,
395,2014-0126-USA,2014,2014-0192-USA,
396,2014-0126-USA,2014,2014-0540-USA,2.0
397,2014-0126-USA,2014,2014-0048-USA,9.0
398,2014-0126-USA,2014,2014-0072-USA,25.0
399,2014-0126-USA,2014,2014-0052-USA,16.0
400,2014-0126-USA,2014,2014-0053-USA,13.0
401,2014-0126-USA,2014,2014-0100-USA,12.0
402,2014-0444-USA,2014,2014-0482-USA,3.0
403,2014-0444-USA,2014,2014-0263-USA,
404,2014-0444-USA,2014,2014-0459-USA,13.0
405,2014-0444-USA,2014,2014-0310-USA,1.0
406,2014-0444-USA,2014,2015-0072-USA,22.0
407,2014-0444-USA,2014,2015-0026-USA,2.0
408,2014-0444-USA,2014,2015-0025-USA,15.0
409,2014-0329-SRB,2014,2014-0306-SRB,1.0
410,2014-0128-SRB,2014,2014-0164-SRB,51.0
411,2014-0164-SRB,2014,2014-0128-SRB,
412,2014-0164-SRB,2014,2014-0306-SRB,1.0
413,2014-0192-USA,2014,2014-0263-USA,
414,2014-0192-USA,2014,2014-0126-USA,40.0
415,2014-0192-USA,2014,2014-0540-USA,2.0
416,2014-0192-USA,2014,2014-0048-USA,9.0
417,2014-0192-USA,2014,2014-0072-USA,25.0
418,2014-0192-USA,2014,2014-0100-USA,12.0
419,2014-0192-USA,2014,2014-0310-USA,1.0
420,2014-0540-USA,2014,2014-0263-USA,
421,2014-0540-USA,2014,2014-0126-USA,40.0
422,2014-0540-USA,2014,2014-0192-USA,
423,2014-0540-USA,2014,2014-0310-USA,1.0
424,2014-0048-USA,2014,2014-0126-USA,40.0
425,2014-0048-USA,2014,2014-0192-USA,
426,2014-0048-USA,2014,2014-0072-USA,25.0
427,2014-0048-USA,2014,2014-0052-USA,16.0
428,2014-0048-USA,2014,2014-0053-USA,13.0
429,2014-0048-USA,2014,2014-0100-USA,12.0
430,2014-0072-USA,2014,2014-0126-USA,40.0
431,2014-0072-USA,2014,2014-0192-USA,
432,2014-0072-USA,2014,2014-0048-USA,9.0
433,2014-0072-USA,2014,2014-0052-USA,16.0
434,2014-0072-USA,2014,2014-0053-USA,13.0
435,2014-0072-USA,2014,2014-0100-USA,12.0
436,2014-0240-TWN,2014,2014-0330-TWN,
437,2014-0330-TWN,2014,2014-0240-TWN,
438,2014-0042-TZA,2014,2014-0119-TZA,28.0
439,2014-0119-TZA,2014,2014-0042-TZA,3.0
440,2014-0052-USA,2014,2014-0126-USA,40.0
